provider,state,insurance_type,coverage_level,monthly_rate,deductible,coverage_amount,customer_age_group,rating_factor,last_updated
Farmers,NC,health,Standard,347.24,500,50000,65+,1.38,2025-08-25
Liberty Mutual,FL,home,Premium,389.29,500,250000,36-50,1.16,2025-09-14
Travelers,IL,life,Standard,84.45,500,50000,18-25,1.25,2025-09-12
Travelers,FL,life,Premium,330.83,2500,50000,36-50,1.39,2025-09-08
StateFarm,TX,home,Standard,350.84,1000,500000,51-65,1.35,2025-09-09
Progressive,FL,life,Standard,290.25,250,50000,18-25,0.98,2025-09-19
Liberty Mutual,FL,health,Standard,349.28,2500,250000,51-65,1.43,2025-09-03
Liberty Mutual,NY,life,Basic,321.12,500,500000,65+,1.38,2025-08-29
Liberty Mutual,MI,home,Basic,332.3,1000,50000,51-65,0.87,2025-09-04
Liberty Mutual,OH,health,Basic,310.08,2500,100000,18-25,0.83,2025-09-02
Geico,IL,auto,Basic,244.11,250,500000,18-25,1.2,2025-08-24
Allstate,MI,home,Standard,200.97,1000,250000,65+,1.1,2025-08-30
Nationwide,TX,auto,Premium,104.4,250,250000,26-35,1.5,2025-09-12
Liberty Mutual,MI,life,Basic,222.86,1000,100000,65+,0.88,2025-08-29
Nationwide,OH,life,Basic,153.63,250,500000,36-50,1.39,2025-09-05
Travelers,TX,life,Basic,399.17,2500,100000,51-65,1.22,2025-08-29
Nationwide,CA,home,Basic,370.39,500,250000,36-50,1.43,2025-09-15
Geico,NC,auto,Premium,267.28,2500,100000,36-50,1.13,2025-09-01
Farmers,IL,auto,Standard,372.01,500,100000,18-25,1.25,2025-08-27
Travelers,MI,auto,Basic,297.08,500,100000,51-65,0.96,2025-09-16
Liberty Mutual,NC,auto,Premium,257.8,250,50000,65+,1.01,2025-09-16
Nationwide,NC,health,Basic,247.46,2500,500000,36-50,0.82,2025-09-16
USAA,NY,life,Basic,245.06,500,100000,51-65,1.49,2025-09-08
Progressive,OH,life,Standard,150.31,1000,250000,36-50,1.09,2025-09-06
AmFam,MI,home,Basic,183.44,1000,250000,51-65,0.82,2025-09-02
StateFarm,FL,health,Premium,83.58,2500,100000,18-25,1.4,2025-08-24
USAA,MI,auto,Basic,145.54,1000,500000,26-35,1.45,2025-08-22
Geico,FL,life,Standard,384.61,1000,500000,65+,1.49,2025-09-19
Geico,OH,health,Premium,279.33,1000,100000,26-35,1.28,2025-09-02
Nationwide,NC,auto,Basic,278.52,2500,250000,18-25,1.02,2025-08-25
AmFam,FL,health,Basic,119.19,1000,500000,18-25,0.81,2025-09-19
Progressive,CA,auto,Basic,359.02,250,250000,26-35,1.03,2025-09-08
Geico,GA,auto,Basic,194.2,2500,500000,26-35,0.95,2025-09-12
USAA,NC,life,Basic,372.08,250,100000,51-65,1.36,2025-09-12
USAA,GA,auto,Premium,340.32,250,100000,51-65,1.24,2025-09-17
Farmers,IL,home,Premium,256.3,1000,50000,26-35,0.81,2025-08-29
Liberty Mutual,PA,life,Premium,188.07,500,50000,36-50,1.44,2025-08-27
StateFarm,NC,auto,Basic,109.92,2500,250000,26-35,1.5,2025-09-02
Liberty Mutual,NY,health,Premium,296.93,500,100000,36-50,1.0,2025-09-14
Travelers,PA,life,Basic,341.8,250,250000,36-50,1.45,2025-08-24
Travelers,TX,health,Basic,85.32,250,250000,18-25,1.23,2025-08-26
Liberty Mutual,MI,auto,Premium,220.45,250,500000,65+,1.29,2025-09-02
Farmers,NC,health,Standard,186.8,2500,100000,36-50,1.04,2025-09-05
StateFarm,NY,health,Basic,266.37,250,50000,26-35,0.85,2025-08-24
AmFam,FL,health,Premium,127.57,2500,100000,26-35,1.27,2025-08-27
Liberty Mutual,FL,home,Premium,224.08,1000,250000,18-25,1.05,2025-09-12
StateFarm,IL,life,Basic,155.72,500,100000,18-25,1.35,2025-09-04
AmFam,TX,home,Basic,82.97,500,500000,36-50,1.1,2025-09-17
Allstate,PA,life,Standard,161.74,1000,250000,18-25,1.41,2025-08-30
AmFam,NC,health,Basic,161.45,2500,50000,36-50,1.01,2025-09-10
Farmers,PA,life,Standard,316.61,250,100000,18-25,1.03,2025-09-04
Nationwide,PA,home,Basic,147.59,1000,250000,18-25,1.16,2025-09-15
StateFarm,MI,home,Standard,268.92,2500,50000,26-35,1.42,2025-09-15
Geico,GA,home,Basic,176.71,500,100000,26-35,0.91,2025-09-17
AmFam,CA,health,Standard,263.47,250,50000,36-50,1.11,2025-09-03
USAA,OH,home,Basic,385.99,500,500000,65+,0.95,2025-08-24
Liberty Mutual,TX,health,Basic,175.63,500,250000,26-35,1.2,2025-09-14
USAA,MI,auto,Basic,193.62,2500,250000,36-50,1.35,2025-09-02
AmFam,MI,auto,Standard,111.38,250,500000,36-50,1.19,2025-08-28
Nationwide,NC,home,Premium,230.71,250,500000,36-50,1.49,2025-09-08
Travelers,TX,health,Standard,399.92,500,50000,26-35,1.01,2025-09-01
Travelers,CA,health,Basic,325.2,2500,50000,51-65,0.92,2025-09-06
Progressive,PA,health,Basic,338.82,500,100000,51-65,1.07,2025-08-24
Nationwide,NY,life,Standard,282.2,2500,50000,26-35,0.97,2025-08-31
USAA,IL,home,Basic,267.38,250,500000,65+,1.35,2025-09-13
Farmers,IL,home,Standard,364.81,250,500000,36-50,1.14,2025-08-26
Farmers,PA,life,Basic,278.46,2500,250000,65+,1.29,2025-09-04
Liberty Mutual,FL,health,Standard,106.48,1000,50000,65+,0.96,2025-09-07
Farmers,TX,auto,Premium,327.03,250,500000,26-35,1.31,2025-09-11
Nationwide,FL,home,Basic,332.78,500,100000,18-25,1.31,2025-09-19
USAA,TX,home,Basic,145.85,2500,100000,18-25,1.17,2025-09-18
Travelers,OH,home,Standard,386.77,1000,100000,36-50,1.15,2025-08-26
Nationwide,IL,auto,Basic,197.32,250,100000,36-50,1.15,2025-09-13
Nationwide,PA,health,Standard,268.62,500,500000,51-65,1.41,2025-09-16
AmFam,OH,life,Premium,154.28,2500,500000,51-65,1.49,2025-09-03
Progressive,OH,auto,Standard,193.45,1000,100000,18-25,1.46,2025-09-05
Nationwide,MI,home,Premium,178.16,500,50000,51-65,1.48,2025-08-30
Nationwide,NY,home,Premium,206.8,500,250000,36-50,1.31,2025-09-08
Allstate,NY,health,Standard,110.83,250,500000,65+,1.08,2025-08-23
Liberty Mutual,CA,health,Premium,381.03,2500,50000,36-50,1.0,2025-08-28
StateFarm,CA,health,Premium,366.77,2500,100000,36-50,1.16,2025-09-10
Allstate,OH,home,Basic,163.79,2500,250000,51-65,1.32,2025-09-17
StateFarm,CA,home,Basic,239.26,500,250000,18-25,1.21,2025-08-28
Liberty Mutual,IL,home,Premium,293.06,1000,500000,51-65,0.91,2025-08-21
Allstate,OH,health,Premium,320.3,250,250000,36-50,1.28,2025-08-23
Liberty Mutual,IL,health,Premium,344.74,2500,500000,51-65,1.08,2025-08-24
Travelers,GA,auto,Premium,81.34,500,250000,65+,0.96,2025-08-29
USAA,NY,home,Standard,350.73,500,250000,26-35,1.14,2025-08-23
Farmers,PA,auto,Basic,376.59,2500,100000,65+,1.15,2025-09-16
Farmers,TX,home,Premium,273.87,500,100000,51-65,0.87,2025-08-26
Travelers,NY,home,Premium,296.73,250,250000,18-25,0.88,2025-09-02
AmFam,PA,auto,Basic,345.06,250,100000,65+,0.87,2025-08-26
Progressive,NC,home,Standard,381.66,250,100000,65+,1.12,2025-08-24
Allstate,FL,life,Basic,117.86,2500,500000,18-25,1.45,2025-08-28
StateFarm,CA,auto,Standard,99.22,500,100000,26-35,1.38,2025-09-05
AmFam,PA,health,Standard,87.47,1000,500000,51-65,0.84,2025-09-01
Geico,MI,health,Basic,300.39,2500,250000,51-65,1.44,2025-08-30
Farmers,OH,home,Standard,179.57,2500,100000,36-50,1.4,2025-08-29
StateFarm,TX,life,Standard,203.18,2500,250000,65+,0.82,2025-09-04
Farmers,PA,home,Basic,347.46,250,100000,26-35,0.93,2025-08-25
AmFam,GA,life,Standard,239.7,1000,50000,18-25,1.36,2025-09-02
Nationwide,IL,auto,Standard,91.04,250,250000,26-35,1.07,2025-08-21
Nationwide,NY,auto,Basic,386.77,500,100000,51-65,1.27,2025-08-22
Travelers,MI,life,Premium,357.49,250,500000,51-65,0.83,2025-09-16
Farmers,FL,home,Premium,255.98,500,100000,18-25,0.9,2025-09-19
StateFarm,MI,health,Basic,305.15,2500,250000,18-25,1.01,2025-08-21
Travelers,NY,life,Basic,394.67,2500,50000,51-65,1.23,2025-09-04
AmFam,CA,life,Standard,359.62,1000,50000,51-65,0.96,2025-09-16
StateFarm,NY,home,Premium,93.11,500,500000,51-65,1.16,2025-09-10
AmFam,MI,home,Basic,107.52,2500,50000,65+,1.16,2025-09-02
AmFam,IL,health,Standard,219.74,500,50000,36-50,1.28,2025-09-02
Farmers,FL,health,Premium,191.2,500,100000,36-50,1.23,2025-09-11
Allstate,GA,home,Basic,277.58,2500,250000,65+,1.05,2025-09-08
Liberty Mutual,PA,life,Basic,286.08,1000,50000,36-50,0.96,2025-09-05
StateFarm,PA,auto,Basic,222.94,2500,100000,18-25,1.49,2025-08-23
Liberty Mutual,NC,home,Basic,279.13,1000,50000,26-35,1.03,2025-08-30
Nationwide,IL,health,Premium,320.04,1000,100000,65+,1.11,2025-08-27
Liberty Mutual,TX,home,Basic,88.52,1000,250000,65+,1.37,2025-09-16
USAA,OH,health,Premium,305.62,500,250000,36-50,1.17,2025-08-26
Progressive,FL,life,Standard,101.46,250,500000,51-65,1.03,2025-09-04
StateFarm,IL,home,Basic,364.8,2500,100000,65+,1.1,2025-09-05
Travelers,IL,life,Basic,237.63,1000,100000,65+,1.48,2025-08-29
Nationwide,OH,life,Standard,219.7,500,100000,18-25,0.97,2025-08-30
Geico,NC,home,Premium,159.78,1000,250000,51-65,1.11,2025-08-27
Geico,MI,health,Premium,350.36,1000,100000,26-35,1.14,2025-09-17
Progressive,FL,health,Basic,173.13,500,100000,65+,0.82,2025-09-02
Liberty Mutual,NY,life,Premium,83.74,2500,500000,26-35,1.44,2025-09-19
Geico,PA,auto,Standard,292.81,2500,500000,65+,1.27,2025-08-29
Allstate,IL,home,Premium,382.01,1000,50000,26-35,1.26,2025-08-23
Liberty Mutual,CA,life,Basic,120.2,250,500000,26-35,1.16,2025-09-05
Progressive,CA,auto,Premium,265.14,1000,50000,36-50,0.81,2025-09-10
Progressive,TX,life,Basic,248.54,1000,250000,51-65,0.93,2025-09-10
Liberty Mutual,FL,home,Premium,168.16,1000,50000,26-35,1.44,2025-08-30
Allstate,CA,home,Standard,148.42,2500,500000,36-50,1.33,2025-08-30
Geico,GA,life,Premium,117.79,250,250000,51-65,0.92,2025-09-09
USAA,PA,life,Standard,111.54,1000,50000,51-65,1.21,2025-08-31
Allstate,FL,life,Standard,274.89,1000,100000,65+,0.83,2025-09-07
Liberty Mutual,GA,home,Standard,282.8,1000,250000,18-25,1.2,2025-09-04
Travelers,IL,home,Basic,271.36,2500,100000,18-25,1.13,2025-08-24
StateFarm,NY,health,Basic,190.07,2500,500000,36-50,0.84,2025-09-01
Progressive,MI,health,Standard,196.13,500,50000,65+,1.12,2025-09-07
Geico,TX,home,Basic,106.78,2500,100000,26-35,1.14,2025-09-19
USAA,OH,auto,Basic,326.83,2500,250000,26-35,1.31,2025-08-24
